Semester_Week,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,hour,minute,sin_hour,cos_hour,Day_Of_Week,Is_weekend,Semester_Spring 2017,Class_Standing_Graduate,Class_Standing_Junior,Class_Standing_Other,Class_Standing_Senior,Class_Standing_Sophomore,Expected_Graduation_Fall Semester 2019,Expected_Graduation_Fall Semester 2020,Expected_Graduation_Spring Semester 2017,Expected_Graduation_Spring Semester 2018,Expected_Graduation_Spring Semester 2020,Expected_Graduation_Spring Semester 2021,Expected_Graduation_Summer Semester 2017,Expected_Graduation_Summer Semester 2018,Expected_Graduation_Summer Semester 2019,Expected_Graduation_Summer Semester 2020,Gender_MALE,time_bin_Evening,time_bin_Morning,course_level_Grad level Course,course_level_Junior level Course,course_level_Senior level Course,course_level_Sophomore level Course,course_level_Unknown course number,occupancy
4,6,2.5,105.0,3.265,-0.765,13,21,-0.2588190451025208,-0.9659258262890683,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
2,6,2.5,105.0,3.265,-0.765,9,32,0.7071067811865476,-0.7071067811865475,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
2,6,2.5,105.0,3.265,-0.765,9,31,0.7071067811865476,-0.7071067811865475,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
15,7,3.0,155.0,2.18,0.82,13,24,-0.2588190451025208,-0.9659258262890683,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
3,7,3.0,155.0,2.18,0.82,13,31,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
3,7,3.0,155.0,2.18,0.82,18,24,-1.0,-1.8369701987210297e-16,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17
3,7,3.0,155.0,2.18,0.82,10,35,0.49999999999999994,-0.8660254037844387,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8
3,7,3.0,155.0,2.18,0.82,17,19,-0.9659258262890683,-0.25881904510252063,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
3,7,3.0,155.0,2.18,0.82,19,38,-0.9659258262890684,0.2588190451025203,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9
7,7,3.0,155.0,2.18,0.82,11,48,0.258819045102521,-0.9659258262890682,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
4,7,3.0,155.0,2.18,0.82,12,21,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
6,13,0.0,78.0,1.548,-1.548,12,34,1.2246467991473532e-16,-1.0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14
7,13,0.0,78.0,1.548,-1.548,16,23,-0.8660254037844384,-0.5000000000000004,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
6,13,0.0,78.0,1.548,-1.548,16,29,-0.8660254037844384,-0.5000000000000004,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
11,13,0.0,78.0,1.548,-1.548,16,28,-0.8660254037844384,-0.5000000000000004,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
9,13,3.461,122.0,3.404,0.057,14,53,-0.4999999999999998,-0.8660254037844388,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
7,13,3.461,122.0,3.404,0.057,16,22,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23
9,13,3.461,122.0,3.404,0.057,14,5,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
13,13,3.461,122.0,3.404,0.057,17,25,-0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
16,13,3.461,122.0,3.404,0.057,17,53,-0.9659258262890683,-0.25881904510252063,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
11,13,3.461,122.0,3.404,0.057,17,22,-0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
10,13,3.461,122.0,3.404,0.057,17,21,-0.9659258262890683,-0.25881904510252063,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19
7,13,3.461,122.0,3.404,0.057,17,43,-0.9659258262890683,-0.25881904510252063,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18
12,13,3.461,122.0,3.404,0.057,17,29,-0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
10,15,3.733,123.0,4.0,-0.267,14,32,-0.4999999999999998,-0.8660254037844388,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
4,18,2.8,126.0,3.254,-0.454,19,19,-0.9659258262890684,0.2588190451025203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,23
6,18,2.8,126.0,3.254,-0.454,13,23,-0.2588190451025208,-0.9659258262890683,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,18
14,18,2.8,126.0,3.254,-0.454,11,22,0.258819045102521,-0.9659258262890682,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3
9,18,2.8,126.0,3.254,-0.454,14,0,-0.4999999999999998,-0.8660254037844388,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,18
6,9,1.0,105.0,1.873,-0.873,20,56,-0.8660254037844386,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7
11,9,1.0,105.0,1.873,-0.873,20,50,-0.8660254037844386,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10
9,9,1.0,105.0,1.873,-0.873,20,43,-0.8660254037844386,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6
7,9,1.0,105.0,1.873,-0.873,20,49,-0.8660254037844386,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8
6,12,4.0,134.0,3.218,0.782,14,19,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9
2,12,4.0,134.0,3.218,0.782,14,30,-0.4999999999999998,-0.8660254037844388,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9
9,12,4.0,134.0,3.218,0.782,13,47,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9
10,12,4.0,134.0,3.218,0.782,13,17,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7
10,12,4.0,134.0,3.218,0.782,10,30,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5
16,12,4.0,134.0,3.218,0.782,14,12,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12
13,12,4.0,134.0,3.218,0.782,13,59,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14
5,12,4.0,134.0,3.218,0.782,13,27,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16
4,12,4.0,134.0,3.218,0.782,10,45,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,11
9,12,4.0,134.0,3.218,0.782,13,25,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10
7,12,4.0,134.0,3.218,0.782,15,17,-0.7071067811865471,-0.7071067811865479,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12
12,13,3.75,142.0,2.4,1.35,12,40,1.2246467991473532e-16,-1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
13,13,3.75,142.0,2.4,1.35,12,44,1.2246467991473532e-16,-1.0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,13,3.75,142.0,2.4,1.35,10,46,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
12,13,3.75,142.0,2.4,1.35,9,38,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
12,13,3.75,142.0,2.4,1.35,14,9,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,13,3.75,142.0,2.4,1.35,10,34,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
5,13,3.75,142.0,2.4,1.35,14,13,-0.4999999999999998,-0.8660254037844388,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
5,13,3.75,142.0,2.4,1.35,10,41,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,13,3.75,142.0,2.4,1.35,10,17,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
7,13,3.75,142.0,2.4,1.35,10,21,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
12,13,3.75,142.0,2.4,1.35,9,39,0.7071067811865476,-0.7071067811865475,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
10,13,3.75,142.0,2.4,1.35,17,27,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
4,13,3.75,142.0,2.4,1.35,10,22,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
